Date,Relative Location,Storm Geometry,Storm Motion,Prov,Start Time (UTC),Start Link (CAP File),End Time (UTC),End Link (CAP File),Warned Polygon (GeoJSON File)
26/08/12,over Brigden,ISOLATED_CELL,southeast at 25 km/h,ON,23:07,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/12/start-overBrigden-ON-230741.cap,23:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/12/end-overBrigden-ON-230741.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/12/overBrigden-ON-230741.geojson
26/08/12,over Brigden,ISOLATED_CELL,southeast at 25 km/h,ON,23:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/12/start-overBrigden-ON-231358.cap,23:25,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/12/end-overBrigden-ON-231358.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/12/overBrigden-ON-231358.geojson
26/08/29,over Lemberg,ISOLATED_CELL,east at 50 km/h,SK,21:51,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/start-overLemberg-SK-215107.cap,22:02,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/end-overLemberg-SK-215107.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/29/overLemberg-SK-215107.geojson
26/08/29,over Neudorf,ISOLATED_CELL,east at 50 km/h,SK,22:02,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/start-overNeudorf-SK-220243.cap,22:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/end-overNeudorf-SK-220243.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/29/overNeudorf-SK-220243.geojson
26/08/29,over Neudorf,ISOLATED_CELL,east at 50 km/h,SK,22:13,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/start-overNeudorf-SK-221328.cap,22:20,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/end-overNeudorf-SK-221328.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/29/overNeudorf-SK-221328.geojson
26/08/29,near Neudorf,ISOLATED_CELL,east at 50 km/h,SK,22:20,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/start-nearNeudorf-SK-222051.cap,22:33,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/end-nearNeudorf-SK-222051.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/29/nearNeudorf-SK-222051.geojson
26/08/29,over Melville Beach,ISOLATED_CELL,east at 55 km/h,SK,22:33,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/start-overMelvilleBeach-SK-223350.cap,22:52,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/end-overMelvilleBeach-SK-223350.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/29/overMelvilleBeach-SK-223350.geojson
26/08/29,over Melville Beach,ISOLATED_CELL,east at 25 km/h,SK,22:52,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/start-overMelvilleBeach-SK-225208.cap,23:07,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/end-overMelvilleBeach-SK-225208.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/29/overMelvilleBeach-SK-225208.geojson
26/08/29,over Sunset Beach,ISOLATED_CELL,east at 25 km/h,SK,23:07,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/start-overSunsetBeach-SK-230752.cap,23:19,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/29/end-overSunsetBeach-SK-230752.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/29/overSunsetBeach-SK-230752.geojson
26/08/30,over Serath,ISOLATED_CELL,north at 35 km/h,SK,17:40,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/start-overSerath-SK-174057.cap,17:55,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/CAP_Alerts/2026/08/30/end-overSerath-SK-174057.cap,https://github.com/JThompson-007/alertreader/blob/main/Archived_Files/Polygons/2026/08/30/overSerath-SK-174057.geojson
